"Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price","Class"
9,"rent",60,30,"married","no","freelance",73,129,0,0,800,846,"negative"
17,"rent",60,58,"widow","no","fixed",48,131,0,0,1000,1658,"negative"
10,"owner",36,46,"married","yes","freelance",90,200,3000,0,2000,2985,"positive"
0,"rent",60,24,"single","no","fixed",63,182,2500,0,900,1325,"negative"
0,"rent",36,26,"single","no","fixed",46,107,0,0,310,910,"negative"
1,"owner",60,36,"married","no","fixed",75,214,3500,0,650,1645,"negative"
29,"owner",60,44,"married","no","fixed",75,125,10000,0,1600,1800,"negative"
9,"parents",12,27,"single","no","fixed",35,80,0,0,200,1093,"negative"
0,"owner",60,32,"married","no","freelance",90,107,15000,0,1200,1957,"negative"
0,"parents",48,41,"married","no","partime",90,80,0,0,1200,1468,"positive"
6,"owner",48,34,"married","no","freelance",60,125,4000,0,1150,1577,"negative"
7,"owner",36,29,"married","no","fixed",60,121,3000,0,650,915,"negative"
8,"owner",60,30,"married","no","fixed",75,199,5000,2500,1500,1650,"negative"
19,"priv",36,37,"married","no","fixed",75,170,3500,260,600,940,"negative"
0,"other",18,21,"single","yes","partime",35,50,0,0,400,500,"positive"
0,"owner",24,68,"married","no","fixed",75,131,4162,0,900,1186,"negative"
15,"priv",24,52,"single","no","freelance",35,330,16500,0,1500,2201,"negative"
33,"rent",24,68,"married","no","freelance",65,200,5000,2000,600,1350,"negative"
0,"ignore",48,36,"married","no","partime",45,130,750,0,1100,1511,"positive"
1,"parents",60,31,"single","no","fixed",35,137,0,0,1250,1253,"negative"
2,"rent",60,25,"single","no","fixed",46,107,0,0,1500,2189,"positive"
5,"owner",60,22,"single","no","fixed",45,324,10000,0,1100,1159,"negative"
1,"owner",60,45,"married","no","partime",105,112,2000,500,600,1332,"positive"
27,"rent",60,41,"married","no","fixed",74,140,0,0,950,1497,"negative"
26,"owner",60,51,"married","no","fixed",45,143,3500,0,1350,1357,"negative"
12,"owner",36,54,"married","no","fixed",60,130,4000,0,700,2100,"negative"
19,"owner",60,43,"single","no","fixed",75,180,4000,0,1000,1070,"negative"
15,"owner",36,43,"married","no","fixed",75,251,4000,0,1800,2557,"negative"
3,"owner",24,23,"married","no","fixed",75,85,5000,0,600,1600,"positive"
4,"owner",48,29,"married","no","fixed",45,150,5000,3300,1100,1312,"negative"
