"classifier","method","avg_rank"
"knn","adasyn",2.125
"knn","da_smote",3.75
"knn","borderline_smote",4.375
"knn","smote",4.875
"knn","ld_smote",5.5
"knn","baseline",5.5625
"knn","smote_tomek",6.125
"knn","da_smote_penn",6.75
"knn","penn",7.3125
"knn","smote_enn",8.625
"logit","baseline",2.8125
"logit","borderline_smote",4.125
"logit","penn",4.3125
"logit","adasyn",5.125
"logit","ld_smote",5.375
"logit","smote",6
"logit","da_smote",6.1875
"logit","smote_tomek",6.25
"logit","smote_enn",7.375
"logit","da_smote_penn",7.4375
"rf","adasyn",3.5625
"rf","baseline",3.5625
"rf","da_smote",4.1875
"rf","borderline_smote",4.4375
"rf","ld_smote",4.9375
"rf","smote",5.5625
"rf","penn",6.5625
"rf","da_smote_penn",6.6875
"rf","smote_tomek",7.4375
"rf","smote_enn",8.0625
"svm_rbf","baseline",2.8125
"svm_rbf","penn",4.3125
"svm_rbf","adasyn",4.375
"svm_rbf","da_smote",4.625
"svm_rbf","borderline_smote",4.875
"svm_rbf","smote",6.25
"svm_rbf","da_smote_penn",6.375
"svm_rbf","ld_smote",6.375
"svm_rbf","smote_tomek",7.375
"svm_rbf","smote_enn",7.625
"xgb","adasyn",4.375
"xgb","baseline",4.625
"xgb","borderline_smote",4.875
"xgb","da_smote",5.125
"xgb","da_smote_penn",5.375
"xgb","ld_smote",5.625
"xgb","penn",5.875
"xgb","smote",6.125
"xgb","smote_enn",6.375
"xgb","smote_tomek",6.625
