"dataset","split","method","classifier","runtime_seconds","n_train_original","n_train_final","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"attrition",1,"baseline","knn",0.0258119106292725,1175,1175,21,247,1,26,0.446808510638298,0.995967741935484,0.954545454545455,0.608695652173913,0.667088347535753,0.721388126286891,0.61683133218343,0.759686643759527,0.936770761839396
"attrition",1,"baseline","logit",0.0258119106292725,1175,1175,26,241,7,21,0.553191489361702,0.971774193548387,0.787878787878788,0.65,0.733196572177134,0.762482841455045,0.609534185968145,0.762596292866375,0.896019217570352
"attrition",1,"baseline","svm_rbf",0.0258119106292725,1175,1175,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",1,"baseline","rf",0.0258119106292725,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"baseline","xgb",0.0258119106292725,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"smote","knn",0.0340240001678467,1175,1962,47,188,60,0,1,0.758064516129032,0.439252336448598,0.61038961038961,0.870669004920373,0.879032258064516,0.577045587357232,0.992269114565341,0.997383321894303
"attrition",1,"smote","logit",0.0340240001678467,1175,1962,37,215,33,10,0.787234042553192,0.866935483870968,0.528571428571429,0.632478632478632,0.826124158707727,0.82708476321208,0.562762045571222,0.734594498237224,0.898850377487992
"attrition",1,"smote","svm_rbf",0.0340240001678467,1175,1962,20,248,0,27,0.425531914893617,1,1,0.597014925373134,0.652328073053442,0.712765957446808,0.619477536150401,0.998626839975796,0.999742621825669
"attrition",1,"smote","rf",0.0340240001678467,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"smote","xgb",0.0340240001678467,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"adasyn","knn",0.0627989768981934,1175,1962,47,188,60,0,1,0.758064516129032,0.439252336448598,0.61038961038961,0.870669004920373,0.879032258064516,0.577045587357232,1,1
"attrition",1,"adasyn","logit",0.0627989768981934,1175,1962,37,209,39,10,0.787234042553192,0.842741935483871,0.486842105263158,0.601626016260163,0.814515279598897,0.814987989018531,0.527193327934254,0.71096641622944,0.895933424845575
"attrition",1,"adasyn","svm_rbf",0.0627989768981934,1175,1962,11,248,0,36,0.234042553191489,1,1,0.379310344827586,0.483779446846897,0.617021276595745,0.452078740148192,0.998626839975796,0.999742621825669
"attrition",1,"adasyn","rf",0.0627989768981934,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"adasyn","xgb",0.0627989768981934,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"borderline_smote","knn",0.0553820133209229,1175,1962,44,197,51,3,0.936170212765957,0.794354838709677,0.463157894736842,0.619718309859155,0.862352212478467,0.865262525737817,0.572180538922676,0.952448718735017,0.977093342484557
"attrition",1,"borderline_smote","logit",0.0553820133209229,1175,1962,35,220,28,12,0.74468085106383,0.887096774193548,0.555555555555556,0.636363636363636,0.812775479934299,0.815888812628689,0.564189167351588,0.750796187810806,0.889842141386412
"attrition",1,"borderline_smote","svm_rbf",0.0553820133209229,1175,1962,18,248,0,29,0.382978723404255,1,1,0.553846153846154,0.618852747755276,0.691489361702128,0.585562531241286,0.995431484632402,0.999142072752231
"attrition",1,"borderline_smote","rf",0.0553820133209229,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"borderline_smote","xgb",0.0553820133209229,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"smote_tomek","knn",0.273741960525513,1175,1962,47,186,62,0,1,0.75,0.431192660550459,0.602564102564103,0.866025403784439,0.875,0.568677848533635,1,1
"attrition",1,"smote_tomek","logit",0.273741960525513,1175,1962,38,210,38,9,0.808510638297872,0.846774193548387,0.5,0.617886178861789,0.827421261341508,0.82764241592313,0.548372959112329,0.730516992289801,0.9036547700755
"attrition",1,"smote_tomek","svm_rbf",0.273741960525513,1175,1962,11,248,0,36,0.234042553191489,1,1,0.379310344827586,0.483779446846897,0.617021276595745,0.452078740148192,0.997785250342717,0.999571036376115
"attrition",1,"smote_tomek","rf",0.273741960525513,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"smote_tomek","xgb",0.273741960525513,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
