"imbalance_ratio","replication","split","method","classifier","runtime_seconds","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"5:995",3,1,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,1,"smote","knn",0.00585603713989258,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,1,1
"5:995",3,1,"adasyn","knn",0.00621581077575684,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,1,"borderline_smote","knn",0.00612783432006836,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,1,"smote_tomek","knn",0.018488883972168,2,178,20,0,1,0.898989898989899,0.0909090909090909,0.166666666666667,0.94815077861588,0.94949494949495,0.285878216122927,0.5,0.994949494949495
"5:995",3,1,"smote_enn","knn",0.0142149925231934,2,166,32,0,1,0.838383838383838,0.0588235294117647,0.111111111111111,0.915633026044735,0.919191919191919,0.222073628275669,0.0740740740740741,0.936868686868687
"5:995",3,1,"da_smote","knn",0.00592207908630371,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,1,"penn","knn",0.00371599197387695,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,1,"ld_smote","knn",0.0075528621673584,2,175,23,0,1,0.883838383838384,0.08,0.148148148148148,0.940126791362944,0.941919191919192,0.265908011739155,1,1
"5:995",3,1,"da_smote_penn","knn",0.0130100250244141,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,0.142857142857143,0.96969696969697
"5:995",3,2,"baseline","knn",1.9073486328125e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,2,"smote","knn",0.00662994384765625,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,2,"adasyn","knn",0.00695586204528809,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,2,"borderline_smote","knn",0.0069270133972168,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,2,"smote_tomek","knn",0.0156009197235107,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,0.333333333333333,0.98989898989899
"5:995",3,2,"smote_enn","knn",0.0142080783843994,2,167,31,0,1,0.843434343434343,0.0606060606060606,0.114285714285714,0.918386815799499,0.921717171717172,0.226091204905044,0.0689655172413793,0.931818181818182
"5:995",3,2,"da_smote","knn",0.00588202476501465,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,2,"penn","knn",0.0036921501159668,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,2,"ld_smote","knn",0.00755095481872559,2,173,25,0,1,0.873737373737374,0.0740740740740741,0.137931034482759,0.934739200920435,0.936868686868687,0.25440378720355,1,1
"5:995",3,2,"da_smote_penn","knn",0.0129940509796143,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,0.153846153846154,0.972222222222222
"5:995",3,3,"baseline","knn",1.59740447998047e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,3,"smote","knn",0.0057368278503418,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,3,"adasyn","knn",0.00607585906982422,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
