"classifier","metric","comparison","statistic","p_raw","p_holm"
"knn","AUPRC","DA-SMOTE-PENN vs Adasyn",0,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Baseline",1,0.201242620957724,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Borderline Smote",0,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Da Smote",0,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Ld Smote",0,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Penn",5,1,1
"knn","AUPRC","DA-SMOTE-PENN vs Smote",0,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Smote Enn",10,0.100348246462291,0.903134218160617
"knn","AUPRC","DA-SMOTE-PENN vs Smote Tomek",0,0.100348246462291,0.903134218160617
"logit","AUPRC","DA-SMOTE-PENN vs Adasyn",2,0.177529852412153,0.53258955723646
"logit","AUPRC","DA-SMOTE-PENN vs Baseline",0,0.0590582290905367,0.531524061814831
"logit","AUPRC","DA-SMOTE-PENN vs Borderline Smote",0,0.0590582290905367,0.531524061814831
"logit","AUPRC","DA-SMOTE-PENN vs Da Smote",5,0.589638551626567,0.83698446689364
"logit","AUPRC","DA-SMOTE-PENN vs Ld Smote",0,0.0590582290905367,0.531524061814831
"logit","AUPRC","DA-SMOTE-PENN vs Penn",0,0.0590582290905367,0.531524061814831
"logit","AUPRC","DA-SMOTE-PENN vs Smote",0,0.0590582290905367,0.531524061814831
"logit","AUPRC","DA-SMOTE-PENN vs Smote Enn",11,0.41849223344682,0.83698446689364
"logit","AUPRC","DA-SMOTE-PENN vs Smote Tomek",0,0.0590582290905367,0.531524061814831
"rf","AUPRC","DA-SMOTE-PENN vs Adasyn",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Baseline",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Borderline Smote",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Da Smote",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Ld Smote",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Penn",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Smote",0,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Smote Enn",6,0.18144920772142,1
"rf","AUPRC","DA-SMOTE-PENN vs Smote Tomek",0,0.18144920772142,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Adasyn",1,0.201242620957724,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Baseline",0,0.100348246462291,0.903134218160617
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Borderline Smote",1,0.201242620957724,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Da Smote",1,0.201242620957724,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Ld Smote",5,1,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Penn",0,0.100348246462291,0.903134218160617
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Smote",1,0.201242620957724,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Smote Enn",8,0.361310428526179,1
"svm_rbf","AUPRC","DA-SMOTE-PENN vs Smote Tomek",1,0.201242620957724,1
"xgb","AUPRC","DA-SMOTE-PENN vs Adasyn",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Baseline",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Borderline Smote",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Da Smote",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Ld Smote",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Penn",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Smote",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Smote Enn",0,NA,NA
"xgb","AUPRC","DA-SMOTE-PENN vs Smote Tomek",0,NA,NA
