"dataset","classifier","method","metric_value","rank"
"attrition","knn","adasyn",0.999690031552474,1
"attrition","knn","baseline",0.763091558034625,7.5
"attrition","knn","borderline_smote",0.937801754115821,6
"attrition","knn","da_smote",0.999397506082501,3
"attrition","knn","da_smote_penn",0.59109923956313,9
"attrition","knn","ld_smote",0.998244285790286,5
"attrition","knn","penn",0.763091558034625,7.5
"attrition","knn","smote",0.999382125423066,4
"attrition","knn","smote_enn",0.39669350562037,10
"attrition","knn","smote_tomek",0.999673618828494,2
"attrition","logit","adasyn",0.717014143129863,8
"attrition","logit","baseline",0.761283191766097,1.5
"attrition","logit","borderline_smote",0.740032083570676,3
"attrition","logit","da_smote",0.727320958022595,7
"attrition","logit","da_smote_penn",0.70101356541899,9
"attrition","logit","ld_smote",0.732065211348537,5
"attrition","logit","penn",0.761283191766097,1.5
"attrition","logit","smote",0.733695891213177,4
"attrition","logit","smote_enn",0.65818375308873,10
"attrition","logit","smote_tomek",0.730602902802972,6
"attrition","rf","adasyn",0.158500237487255,5.5
"attrition","rf","baseline",0.158500237487255,5.5
"attrition","rf","borderline_smote",0.158500237487255,5.5
"attrition","rf","da_smote",0.158500237487255,5.5
"attrition","rf","da_smote_penn",0.158500237487255,5.5
"attrition","rf","ld_smote",0.158500237487255,5.5
"attrition","rf","penn",0.158500237487255,5.5
"attrition","rf","smote",0.158500237487255,5.5
"attrition","rf","smote_enn",0.158500237487255,5.5
"attrition","rf","smote_tomek",0.158500237487255,5.5
"attrition","svm_rbf","adasyn",0.997811419119588,8
"attrition","svm_rbf","baseline",1,1.5
"attrition","svm_rbf","borderline_smote",0.992541688871257,9
"attrition","svm_rbf","da_smote",0.999633395506088,4
"attrition","svm_rbf","da_smote_penn",0.999875185151843,3
"attrition","svm_rbf","ld_smote",0.942070876469288,10
"attrition","svm_rbf","penn",1,1.5
"attrition","svm_rbf","smote",0.998607730779114,6
"attrition","svm_rbf","smote_enn",0.999431308219888,5
"attrition","svm_rbf","smote_tomek",0.998207943470533,7
"attrition","xgb","adasyn",0.158500237487255,5.5
"attrition","xgb","baseline",0.158500237487255,5.5
"attrition","xgb","borderline_smote",0.158500237487255,5.5
"attrition","xgb","da_smote",0.158500237487255,5.5
"attrition","xgb","da_smote_penn",0.158500237487255,5.5
"attrition","xgb","ld_smote",0.158500237487255,5.5
"attrition","xgb","penn",0.158500237487255,5.5
"attrition","xgb","smote",0.158500237487255,5.5
"attrition","xgb","smote_enn",0.158500237487255,5.5
"attrition","xgb","smote_tomek",0.158500237487255,5.5
"credit_data","knn","adasyn",0.971465932308393,1
"credit_data","knn","baseline",0.777722121828813,8
"credit_data","knn","borderline_smote",0.934804819457126,5
"credit_data","knn","da_smote",0.951023844561938,3
"credit_data","knn","da_smote_penn",0.792391175827474,7
"credit_data","knn","ld_smote",0.93379441431056,6
"credit_data","knn","penn",0.759079904419335,9
"credit_data","knn","smote",0.960686237205662,2
"credit_data","knn","smote_enn",0.562347161167007,10
"credit_data","knn","smote_tomek",0.942120898040143,4
"credit_data","logit","adasyn",0.60062549568878,8
"credit_data","logit","baseline",0.606790631773886,3
"credit_data","logit","borderline_smote",0.610246806451609,2
"credit_data","logit","da_smote",0.594749423743471,10
"credit_data","logit","da_smote_penn",0.599351358853884,9
"credit_data","logit","ld_smote",0.606106307340408,5
"credit_data","logit","penn",0.606062873973613,6
"credit_data","logit","smote",0.605947227419405,7
"credit_data","logit","smote_enn",0.611874560029528,1
"credit_data","logit","smote_tomek",0.606329652711561,4
"credit_data","rf","adasyn",0.999982841626589,3
"credit_data","rf","baseline",0.999985965365809,1
"credit_data","rf","borderline_smote",0.999971395608931,6
"credit_data","rf","da_smote",0.999983882872995,2
"credit_data","rf","da_smote_penn",0.974100656776185,9
"credit_data","rf","ld_smote",0.999979717887369,4
"credit_data","rf","penn",0.998441538380769,7
"credit_data","rf","smote",0.999976583468417,5
"credit_data","rf","smote_enn",0.862135014183347,10
"credit_data","rf","smote_tomek",0.994692139517484,8
"credit_data","svm_rbf","adasyn",0.997693472886243,6
"credit_data","svm_rbf","baseline",0.999702099134889,1
"credit_data","svm_rbf","borderline_smote",0.999245836043767,3
"credit_data","svm_rbf","da_smote",0.997347702307189,7
"credit_data","svm_rbf","da_smote_penn",0.95439480735241,9
"credit_data","svm_rbf","ld_smote",0.998591396922362,4
"credit_data","svm_rbf","penn",0.99944778559658,2
"credit_data","svm_rbf","smote",0.997750332061969,5
"credit_data","svm_rbf","smote_enn",0.864706850894049,10
"credit_data","svm_rbf","smote_tomek",0.983415668691535,8
"credit_data","xgb","adasyn",0.242634523583504,5.5
"credit_data","xgb","baseline",0.242634523583504,5.5
"credit_data","xgb","borderline_smote",0.242634523583504,5.5
"credit_data","xgb","da_smote",0.242634523583504,5.5
"credit_data","xgb","da_smote_penn",0.242634523583504,5.5
"credit_data","xgb","ld_smote",0.242634523583504,5.5
"credit_data","xgb","penn",0.242634523583504,5.5
"credit_data","xgb","smote",0.242634523583504,5.5
"credit_data","xgb","smote_enn",0.242634523583504,5.5
"credit_data","xgb","smote_tomek",0.242634523583504,5.5
"glass0","knn","adasyn",1,5.5
"glass0","knn","baseline",1,5.5
"glass0","knn","borderline_smote",1,5.5
"glass0","knn","da_smote",1,5.5
"glass0","knn","da_smote_penn",1,5.5
"glass0","knn","ld_smote",1,5.5
"glass0","knn","penn",1,5.5
"glass0","knn","smote",1,5.5
"glass0","knn","smote_enn",1,5.5
"glass0","knn","smote_tomek",1,5.5
"glass0","logit","adasyn",1,5.5
"glass0","logit","baseline",1,5.5
"glass0","logit","borderline_smote",1,5.5
"glass0","logit","da_smote",1,5.5
"glass0","logit","da_smote_penn",1,5.5
"glass0","logit","ld_smote",1,5.5
"glass0","logit","penn",1,5.5
"glass0","logit","smote",1,5.5
"glass0","logit","smote_enn",1,5.5
"glass0","logit","smote_tomek",1,5.5
"glass0","rf","adasyn",1,5.5
"glass0","rf","baseline",1,5.5
"glass0","rf","borderline_smote",1,5.5
"glass0","rf","da_smote",1,5.5
"glass0","rf","da_smote_penn",1,5.5
"glass0","rf","ld_smote",1,5.5
"glass0","rf","penn",1,5.5
"glass0","rf","smote",1,5.5
"glass0","rf","smote_enn",1,5.5
"glass0","rf","smote_tomek",1,5.5
"glass0","svm_rbf","adasyn",1,5.5
"glass0","svm_rbf","baseline",1,5.5
"glass0","svm_rbf","borderline_smote",1,5.5
"glass0","svm_rbf","da_smote",1,5.5
"glass0","svm_rbf","da_smote_penn",1,5.5
"glass0","svm_rbf","ld_smote",1,5.5
"glass0","svm_rbf","penn",1,5.5
"glass0","svm_rbf","smote",1,5.5
"glass0","svm_rbf","smote_enn",1,5.5
"glass0","svm_rbf","smote_tomek",1,5.5
"glass0","xgb","adasyn",1,5.5
