"dataset","method","classifier","TP_mean","TP_sd","TN_mean","TN_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd","n_train_original_mean","n_train_original_sd","n_train_final_mean","n_train_final_sd"
"attrition","adasyn","knn",46.6,0.5,186.08,3.21351313466534,61.32,3.28785644455472,0,0,1,0,0.752147054982369,0.0131918713714211,0.432172764090658,0.013004927060195,0.603409791385568,0.0126935003021452,0.867232077990638,0.00760878647859268,0.876073527491185,0.00659593568571056,0.570126222060222,0.0135331473253415,0.999690031552474,0.0015498422376282,0.999893617021277,0.000531914893617013,0.0482674694061279,0.0325480506991425,1176,0.912870929175277,1964,1.82574185835055
"attrition","adasyn","logit",36.76,1.50775771705315,208.24,2.65015722804013,39.16,2.62488094968134,9.84,1.34412301024373,0.788769657724329,0.0292498248909449,0.841714117800705,0.0106108700130831,0.484547881699218,0.0188403082202368,0.600134787445826,0.0203103680625594,0.81466313877669,0.0159958534890057,0.815241887762517,0.015609396720878,0.526337836238275,0.0261041035937837,0.717014143129863,0.00971586053330951,0.901025933595798,0.00267280460104974,0.0482674694061279,0.0325480506991425,1176,0.912870929175277,1964,1.82574185835055
"attrition","adasyn","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0482674694061279,0.0325480506991425,1176,0.912870929175277,1964,1.82574185835055
"attrition","adasyn","svm_rbf",15.52,8.90748748712752,247.28,0.842614977317636,0.12,0.6,31.08,8.93457702785457,0.33313598519889,0.191014333687101,0.999514170040486,0.00242914979757085,0.997551020408163,0.0122448979591837,0.47362469463197,0.180562526576571,0.558333014868465,0.147636718258151,0.666325077619688,0.0946558871397709,0.527425302953663,0.147135148310643,0.997811419119588,0.00125345571864046,0.999575884019955,0.000241585708018569,0.0482674694061279,0.0325480506991425,1176,0.912870929175277,1964,1.82574185835055
"attrition","adasyn","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0482674694061279,0.0325480506991425,1176,0.912870929175277,1964,1.82574185835055
"attrition","baseline","knn",21,0,246.4,0.5,1,0,25.6,0.5,0.450693802035153,0.00485661424606845,0.995957946976623,8.16246571766488e-06,0.954545454545455,0,0.61227621483376,0.00447570332480812,0.669969833807447,0.00360413639597115,0.723325874505888,0.00242558820862305,0.619924186837447,0.00392350543456704,0.763091558034625,0.00291719454883006,0.938378920112883,0.00139556417798125,0.0010585880279541,0.00515695293731838,1176,0.912870929175277,1176,0.912870929175277
"attrition","baseline","logit",25.6,0.5,240.4,0.5,7,0,21,0,0.549306197964847,0.00485661424606848,0.971705628836359,5.71372600235431e-05,0.785227272727273,0.00331439393939392,0.646410256410256,0.00448717948717953,0.730584684496248,0.00324693647011675,0.760505913400603,0.00244744551060965,0.606015161712932,0.00431666874935398,0.761283191766097,0.00189844052026353,0.895559147476743,0.000776152334342558,0.0010585880279541,0.00515695293731838,1176,0.912870929175277,1176,0.912870929175277
"attrition","baseline","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0010585880279541,0.00515695293731838,1176,0.912870929175277,1176,0.912870929175277
"attrition","baseline","svm_rbf",46.6,0.5,247.4,0.5,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.0010585880279541,0.00515695293731838,1176,0.912870929175277,1176,0.912870929175277
"attrition","baseline","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0010585880279541,0.00515695293731838,1176,0.912870929175277,1176,0.912870929175277
"attrition","borderline_smote","knn",42.84,0.898146239020499,195.96,3.00665927567458,51.44,2.9022979401387,3.76,0.723417813807024,0.919296947271045,0.0156067593996402,0.792073919289539,0.0117890455154198,0.454760889095456,0.0161795931412812,0.608377990030491,0.0164350088192886,0.853278118914466,0.010737219260303,0.855685433280292,0.0108664664931543,0.556854209700664,0.0199182118544765,0.937801754115821,0.0108372262777044,0.971146148518276,0.00513950587593375,0.0390513896942139,0.0034107872887376,1176,0.912870929175277,1964,1.82574185835055
