"seed_id","seed_value"
1,471084711
2,930350361
3,674686231
4,489408667
5,376779491
6,610070256
7,72165266
8,592004999
9,419266318
10,584495206
11,622142132
12,342039738
13,158159058
14,363440407
15,864678153
16,23210446
17,663547074
18,215118111
19,109834083
20,305495906
21,490077176
22,28588894
23,611076182
24,594454317
25,646867521
26,761298891
27,359103372
28,219208867
29,41369564
30,286715061
31,55198148
32,644777232
33,610116460
34,46134371
35,178314347
36,657869673
37,8652071
38,153626341
39,510700138
40,767114747
41,714009022
42,407458293
43,3058145
44,229038273
45,629427874
46,165051314
47,545206914
48,961686641
49,880248124
50,634963685
51,610157936
52,654857901
53,500670359
54,521122667
55,197206203
56,401286271
57,101872562
58,283971914
59,654427117
60,382679195
61,719849834
62,396673400
63,988897821
64,637367412
65,763697249
66,110718512
67,124821742
68,407576220
69,344534567
70,39779520
71,258968048
72,980951145
73,575777233
74,913522207
75,323115603
76,358069094
77,237310334
78,917235800
79,963972616
80,881429902
81,210921759
82,218108319
83,2506827
84,988622676
85,759717394
86,987691608
87,169508598
88,411797378
89,472896558
90,33256855
91,350661999
92,7450599
93,142736896
94,712598170
95,885557652
96,153679400
97,441795475
98,907656530
99,539053638
100,315711406
101,201244794
102,762637430
103,321199328
104,848318052
105,991964866
106,187157503
107,783022199
108,312234478
109,745841801
110,561579206
111,356286577
112,442935754
113,371600633
114,744998126
115,590313867
116,947142636
117,778344783
118,755993876
119,398934368
120,311774004
121,833345729
122,922777519
123,602844294
124,164619690
125,686807740
126,231728900
127,823392544
128,630820507
129,572236939
130,110839627
131,317375743
132,639886109
133,634484281
134,412329156
135,469996519
136,713070178
137,960455198
138,462193448
139,864492635
140,916030352
141,880142887
142,143927474
143,333463006
144,167242460
145,535112805
146,677580768
147,491108228
148,247669999
149,533857558
150,723506626
151,438382116
152,369888137
153,375353130
154,713117705
155,661495932
156,168801062
157,388107217
158,417977570
159,175387540
160,16948985
161,461370205
162,915015011
163,544288401
164,931757880
165,868155857
166,551684058
167,315421769
168,392219606
169,485461757
170,123263673
171,609634476
172,258787182
173,835900669
174,920016233
175,227025720
176,654295666
177,950169043
178,542316551
179,134629375
180,969659659
181,847940414
182,423595599
183,261538614
184,733268390
185,858631065
186,818017783
187,985631144
188,78149995
189,41514503
190,730206706
191,427626369
192,462037215
193,52169369
194,549628548
195,708131245
196,564835443
197,883503558
198,445941308
199,939142895
200,858271475
201,260995271
202,384513752
203,753958899
204,801354423
205,313176731
206,112974993
207,132236982
208,602646377
209,922801069
210,949516861
211,35479711
212,22371635
213,460416506
214,982830601
215,906193744
216,599719523
217,708133347
218,858204202
219,192935247
220,773156088
221,443891295
222,159875444
223,774706793
224,412163703
225,630992931
226,253595181
227,468737327
228,553990657
229,284244815
230,606001876
231,471212343
232,850696406
233,565943013
234,622520735
235,448870977
236,45469748
237,265248744
238,556293401
239,467720721
240,875171557
241,398345859
242,163945809
243,29490395
244,875617935
245,726854297
246,597779058
247,697847534
248,828944072
249,493311323
250,175039397
251,545762055
252,579968859
253,31310507
254,928536336
255,308391316
256,222938238
257,572740140
258,968958594
259,777929206
260,743123612
261,921108527
262,194400379
263,87783562
264,184071539
265,163489060
266,588157219
267,366964470
268,502476664
269,724950595
270,261457035
271,846596896
272,756379267
273,365098207
274,967491548
275,965469770
276,364601500
277,825298465
278,938835166
279,554356044
280,740753244
281,717204097
282,116993977
283,622621812
284,614581998
285,85270393
286,579478749
287,440014098
288,291679101
289,884488459
290,755025272
291,590237577
292,621836272
293,358250622
294,540420613
295,177016125
296,341439348
297,112391075
298,959335385
299,115913661
300,436737988
301,653471915
302,70440714
303,383920860
304,188670700
305,326035592
306,681958559
307,383474938
308,361745968
309,36761430
310,552720379
311,259975349
312,848267043
313,249893871
314,843969273
315,698548039
316,133340807
317,381988724
318,198641723
319,601735079
320,358107727
321,39817425
322,29294343
323,854264347
324,648079036
325,921221212
326,602104287
327,962269524
328,59923633
329,304098938
330,468613418
331,367328227
332,962448976
333,777600652
334,323189699
335,624997677
336,647552310
337,405095061
338,321840220
339,362891767
340,239011224
341,960436018
342,633553059
343,496945261
344,650420795
345,438779010
346,871533913
347,590974733
348,758304265
349,858039066
350,694681646
351,690968075
352,261653204
353,592132853
354,34557033
355,441549048
356,567008596
357,207779239
358,392529342
359,146943662
360,797994957
361,783111868
362,795842323
363,854346143
364,793175187
365,267394426
366,56091928
367,998247755
368,942324588
369,924011847
370,778454067
371,227520475
372,76329103
373,920585553
374,271597099
375,662983048
376,620250535
377,587490303
378,568152097
379,825648416
380,859075843
381,971902883
382,393810268
383,460590236
384,891939548
385,322408840
386,103581781
387,858213132
388,648616899
389,278058121
390,444482160
391,651946981
392,435716608
393,738521384
394,923389601
395,401894344
396,861123056
397,598160249
398,615012293
399,866566293
400,159200222
401,806599391
402,422565255
