"dataset","split","classifier","parameters"
"attrition",1,"knn","k=3"
"attrition",1,"logit","dummy=1"
"attrition",1,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",2,"knn","k=3"
"attrition",2,"logit","dummy=1"
"attrition",2,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",3,"knn","k=3"
"attrition",3,"logit","dummy=1"
"attrition",3,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",4,"knn","k=3"
"attrition",4,"logit","dummy=1"
"attrition",4,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",5,"knn","k=3"
"attrition",5,"logit","dummy=1"
"attrition",5,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",6,"knn","k=3"
"attrition",6,"logit","dummy=1"
"attrition",6,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
