"dataset","alpha","beta","k_smote","k_enn","primary_metric"
"attrition",0.25,0,3,3,0.686971656847003
"attrition",0.25,0,3,5,0.686797769243388
"attrition",0.25,0,3,7,0.690203919371305
"attrition",0.25,0,5,3,0.680615427138942
"attrition",0.25,0,5,5,0.688132938400375
"attrition",0.25,0,5,7,0.686895908153549
"attrition",0.25,0,7,3,0.712151482452448
"attrition",0.25,0,7,5,0.702686640830348
"attrition",0.25,0,7,7,0.679135068470537
"attrition",0.25,0.05,3,3,0.691100774505752
"attrition",0.25,0.05,3,5,0.665904981484857
"attrition",0.25,0.05,3,7,0.680511346575447
"attrition",0.25,0.05,5,3,0.710308897648021
"attrition",0.25,0.05,5,5,0.694214177746119
"attrition",0.25,0.05,5,7,0.688447987465005
"attrition",0.25,0.05,7,3,0.701209845952984
"attrition",0.25,0.05,7,5,0.70074793409578
"attrition",0.25,0.05,7,7,0.697130835136613
"attrition",0.25,0.1,3,3,0.692991832143698
"attrition",0.25,0.1,3,5,0.686034349338968
"attrition",0.25,0.1,3,7,0.679923347908636
"attrition",0.25,0.1,5,3,0.714502487161166
"attrition",0.25,0.1,5,5,0.701049709280222
"attrition",0.25,0.1,5,7,0.683355396204507
"attrition",0.25,0.1,7,3,0.690055398742689
"attrition",0.25,0.1,7,5,0.709682797534534
"attrition",0.25,0.1,7,7,0.681707603243658
"attrition",0.25,0.15,3,3,0.688729626946766
"attrition",0.25,0.15,3,5,0.665471442675564
"attrition",0.25,0.15,3,7,0.679497596852708
"attrition",0.25,0.15,5,3,0.711241357087072
"attrition",0.25,0.15,5,5,0.685817832846261
"attrition",0.25,0.15,5,7,0.691024163867912
"attrition",0.25,0.15,7,3,0.716366991184392
"attrition",0.25,0.15,7,5,0.687806019023646
"attrition",0.25,0.15,7,7,0.684552440511867
"attrition",0.25,0.2,3,3,0.706005575460707
"attrition",0.25,0.2,3,5,0.691908486753425
"attrition",0.25,0.2,3,7,0.686534587992465
"attrition",0.25,0.2,5,3,0.696733081689676
"attrition",0.25,0.2,5,5,0.689180389421736
"attrition",0.25,0.2,5,7,0.694015051814192
"attrition",0.25,0.2,7,3,0.713748212796573
"attrition",0.25,0.2,7,5,0.698547524417718
"attrition",0.25,0.2,7,7,0.690190180676698
"attrition",0.25,0.25,3,3,0.690431033319572
"attrition",0.25,0.25,3,5,0.68477787751435
"attrition",0.25,0.25,3,7,0.684715892885418
"attrition",0.25,0.25,5,3,0.701695936947498
"attrition",0.25,0.25,5,5,0.690937535790499
"attrition",0.25,0.25,5,7,0.695396793360333
"attrition",0.25,0.25,7,3,0.702245609625215
"attrition",0.25,0.25,7,5,0.686971525905962
"attrition",0.25,0.25,7,7,0.689168017677638
"attrition",0.5,0,3,3,0.656453323935649
"attrition",0.5,0,3,5,0.664328509119845
"attrition",0.5,0,3,7,0.670727040497036
"attrition",0.5,0,5,3,0.684247654883999
"attrition",0.5,0,5,5,0.692196277653809
"attrition",0.5,0,5,7,0.700153250482528
"attrition",0.5,0,7,3,0.701709644312575
"attrition",0.5,0,7,5,0.695987293771115
"attrition",0.5,0,7,7,0.705000565064752
"attrition",0.5,0.05,3,3,0.66216745217715
"attrition",0.5,0.05,3,5,0.671939383763515
"attrition",0.5,0.05,3,7,0.692721880116681
"attrition",0.5,0.05,5,3,0.679917133841201
"attrition",0.5,0.05,5,5,0.677082492885297
"attrition",0.5,0.05,5,7,0.673508523341747
"attrition",0.5,0.05,7,3,0.691228841634623
"attrition",0.5,0.05,7,5,0.696306331992675
"attrition",0.5,0.05,7,7,0.701256330810288
"attrition",0.5,0.1,3,3,0.657038461452146
"attrition",0.5,0.1,3,5,0.671328045043436
"attrition",0.5,0.1,3,7,0.67681316336619
"attrition",0.5,0.1,5,3,0.682264179634218
"attrition",0.5,0.1,5,5,0.684568929802575
"attrition",0.5,0.1,5,7,0.692415867772017
"attrition",0.5,0.1,7,3,0.689595629505968
