"alpha","beta","k_smote","k_enn","primary_metric"
0.5,0,7,5,0.816996498733708
0.5,0.1,7,5,0.815282848588701
0.5,0.25,7,5,0.815135485280221
0.5,0.05,7,5,0.814716674426478
0.75,0.2,5,5,0.814395624013647
0.5,0.15,7,5,0.814085754490651
0.5,0,5,5,0.813502633580971
0.5,0.25,3,5,0.81320740737068
0.75,0.15,5,5,0.812889994320484
0.75,0.05,5,5,0.812846757928461
0.75,0,7,5,0.812564139197961
0.5,0.25,5,5,0.812394731603541
0.75,0.25,7,5,0.812356322206538
0.75,0.2,7,5,0.812102460732529
0.5,0.2,3,5,0.812055628620974
0.5,0.15,3,5,0.81199832553328
0.5,0.15,5,5,0.811938743670569
0.5,0.1,5,5,0.8118135338729
0.75,0,5,5,0.8115118226994
0.5,0.2,7,5,0.811494618266086
0.5,0,3,5,0.81133944748236
0.75,0.1,3,5,0.811260606153812
0.75,0.15,7,5,0.811174270122274
0.75,0.1,7,5,0.811164932524805
0.75,0.2,3,5,0.810991787969549
0.75,0.1,5,5,0.810693504168424
0.5,0.2,5,5,0.810530401779911
0.75,0.05,7,5,0.810292067863624
0.75,0.25,5,5,0.810082749254457
0.75,0.25,3,5,0.810040790462535
0.5,0.05,5,5,0.809874403886986
0.5,0.05,3,5,0.809810382795162
0.25,0.05,7,7,0.80946742327419
0.5,0,7,3,0.809293536703158
0.25,0.25,5,7,0.809178416311477
0.5,0.1,3,5,0.809157190964336
0.25,0.2,5,7,0.808948126053787
0.25,0.1,7,5,0.80889518211907
0.5,0.2,5,3,0.808769775077307
0.75,0.15,3,5,0.808511272772436
0.25,0.15,5,7,0.808449644729407
0.75,0,3,5,0.808318680873244
0.25,0,3,7,0.808312937313306
0.25,0.2,7,7,0.808310647530871
0.25,0.25,7,7,0.808140287031028
0.25,0.05,5,7,0.808020281995589
0.5,0.05,3,7,0.807798889211428
0.25,0,5,7,0.807761602110346
0.25,0,7,5,0.807729156001706
0.25,0.2,3,7,0.807701382083499
0.25,0.1,5,5,0.807456334076685
0.25,0.05,7,5,0.807406038212611
0.25,0.25,3,7,0.807398266232324
0.5,0,7,7,0.807375874669753
0.25,0.15,7,7,0.807371024170066
0.25,0.1,5,7,0.807171516785506
0.5,0.05,7,3,0.807119181626625
0.25,0.2,7,5,0.807039303266268
0.75,0.05,3,5,0.807020710559003
0.5,0.25,5,3,0.806992923520733
0.5,0.25,7,3,0.806983902217312
0.25,0.1,7,7,0.806896884625364
0.5,0.15,5,3,0.806719101896998
0.25,0.05,3,7,0.806697508513996
0.5,0.2,7,3,0.80665754077789
