"imbalance_ratio","method","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd"
"100:900","adasyn",0.990485335206633,0.0212782529029792,0.861987794394079,0.0277479391156965,0.440662836495566,0.0765381509416657,0.606037451656908,0.0737777506586637,0.923826844205049,0.0178770040089309,0.926236564800356,0.0173212322203269,0.610223550316718,0.0617377742031084,0.950959542347862,0.040208791619183,0.990143904303787,0.00814167883069934,0.00624318552017212,0.00215664880041636
"100:900","baseline",0.494461406013764,0.132427749039795,0.984248686998263,0.00919319261814239,0.771318797903163,0.126097601328036,0.593538035402358,0.123420513797907,0.690690578843664,0.098084384611014,0.739355046506013,0.0663044747269932,0.582278540888869,0.120542512144937,0.716514956180417,0.109494228450849,0.96013268303688,0.0158703527564797,1.88407897949219e-05,7.49745577774399e-06
"100:900","borderline_smote",0.841656894246927,0.0918178061102807,0.921357359680678,0.0246628738374927,0.5436087207702,0.0959960436309279,0.655276259151758,0.0842554040045431,0.879066938124923,0.0486431364990164,0.881507126963803,0.0456728529132254,0.631342780631577,0.0859415698744197,0.87924581451485,0.0658850298981502,0.975693788466399,0.0141754963249039,0.00603920650482178,0.0020929657692239
"100:900","da_smote",0.983297330480595,0.0283383015444177,0.869514801792579,0.0281115947388677,0.453282051000291,0.0787009202607727,0.616414801183692,0.0746884544153244,0.924441779092883,0.0203252642353365,0.926406066136587,0.0201245729041529,0.6184052802158,0.0637515922092549,0.933933591546792,0.0541672449259362,0.986747222520724,0.0110272809546134,0.00592136764526367,0.00302063397347312
"100:900","da_smote_penn",0.984090907298746,0.0283634710867736,0.865994847555192,0.0283548471407502,0.44690510542352,0.078812083601158,0.610596498745576,0.0760157390559293,0.922951285799126,0.0210465641201313,0.925042877426969,0.0208310083913166,0.613096687483753,0.0651230916906849,0.627180802569281,0.0947707680091629,0.963188047620452,0.0128648959476161,0.0128203067779541,0.00287949957989557
"100:900","ld_smote",0.882276109658525,0.0745997105626253,0.89574470640455,0.0294730104700034,0.484854483223364,0.0950390084865382,0.620326566494373,0.0859437187013947,0.888008402086182,0.0405186885132881,0.889010408031538,0.0394964659282751,0.603090421939004,0.0831777375073616,0.851392670770229,0.0719347730387413,0.968490353813362,0.0161756799034747,0.00699712562561035,0.00183745705353086
"100:900","penn",0.496473812508929,0.132665217155563,0.984248686998263,0.00919319261814239,0.772076193843996,0.125764006390436,0.595211208046074,0.123451257193675,0.692094989690517,0.0981878768048702,0.740361249753596,0.0663534775839483,0.583898001396705,0.120304445093788,0.701151161252948,0.117104101657661,0.959911162144896,0.0158650244557752,0.00416754245758057,0.00126968882636932
"100:900","smote",0.977957726538471,0.0327181426639712,0.880009197716904,0.0277358327721127,0.473037235139738,0.0826425995070582,0.633396314033662,0.0761707383861672,0.927448219214682,0.0217395034957469,0.928983462127687,0.021679283244779,0.633325123775004,0.0665361814261939,0.937502043761946,0.0448320268378586,0.987369873270013,0.00948593276492963,0.00564354705810547,0.00242074618598848
"100:900","smote_enn",0.953016884775385,0.0489097466892529,0.820920993142592,0.0397544922474056,0.371289616700469,0.074292515558948,0.530151231676462,0.0779123146544902,0.883941987486693,0.0315485645355349,0.886968938958989,0.0314759659195321,0.529599763628858,0.06953631916551,0.426061097495436,0.0823688715279436,0.912075686997021,0.0278311099471174,0.0153342809677124,0.00997167582837851
"100:900","smote_tomek",0.985400851852078,0.0274978678456656,0.86029772813248,0.0320061473201948,0.43823950854585,0.0814536401502909,0.602081687123559,0.0784636842205634,0.920461803916695,0.0211144704338954,0.922849289992279,0.0205781919067113,0.605383374463246,0.0665710218843037,0.799748512442532,0.0859823467833102,0.980471606731356,0.00977128882697303,0.00827538204193115,0.00412925490127137
"10:990","adasyn",1,0,0.911628831841849,0.033542893041664,0.120118960694689,0.0726007027197596,0.207602389729578,0.106799701558205,0.954630416218076,0.017614829323016,0.955814415920924,0.016771446520832,0.31873894334257,0.09665173230246,0.985016950265525,0.0676241620649467,0.999063459772012,0.00480035233353861,0.00813639871366732,0.00483444567354395
"10:990","baseline",0.037912087912088,0.14735940423521,0.999776300796709,0.00104442247065315,0.636363636363636,0.485479387502946,0.628571428571429,0.204066959589898,0.0524795683543533,0.18771101008789,0.518844194354398,0.0737103859767834,0.429338130948506,0.360667550582667,0.449730862972287,0.222514918958316,0.9907589455047,0.00711621525572316,2.47462765201107e-05,0.000139530227821353
"10:990","borderline_smote",0.871978021978022,0.239881873575695,0.944169504139352,0.0377374880693864,0.179318331595915,0.119337162030986,0.284390455799173,0.152795562417758,0.888674249726518,0.175188182202701,0.908073763058687,0.115211923719839,0.359521323905859,0.14731482016388,0.869854985498174,0.226825103596516,0.993037070607284,0.0122872854255275,0.00800262073894124,0.00555273601711374
"10:990","da_smote",1,0,0.905086280800969,0.0356169086639165,0.11376735910646,0.0707261395138724,0.197661936625581,0.105101626001733,0.951175746402437,0.0187550884029398,0.952543140400484,0.0178084543319582,0.308615744523829,0.096186535599779,0.983400937435372,0.0674168911930034,0.999088423651555,0.00416005554565512,0.00628251348223005,0.0018680989006662
"10:990","da_smote_penn",1,0,0.902558144389798,0.0366656505796635,0.109631122833305,0.0631938197527665,0.192080676122658,0.0973790629654335,0.949833772923604,0.0193590257494221,0.951279072194899,0.0183328252898317,0.303398833955385,0.090921484988731,0.20369805294486,0.136800082901845,0.975408723619576,0.0105395242313739,0.0145945019774385,0.00837681069636697
"10:990","ld_smote",0.918754578754579,0.18324964606535,0.911085544427509,0.0408026709593701,0.117551894938991,0.0796511249406326,0.20199718602997,0.113344746650349,0.905946211364122,0.129978522599956,0.914920061591044,0.0952775545725945,0.297204125666955,0.113613384475021,0.734847665918367,0.323012015766153,0.975745050915032,0.0389711293742787,0.00804357947884025,0.00212198400836076
"10:990","penn",0.037912087912088,0.14735940423521,0.999776300796709,0.00104442247065315,0.636363636363636,0.485479387502946,0.628571428571429,0.204066959589898,0.0524795683543533,0.18771101008789,0.518844194354398,0.0737103859767834,0.429338130948506,0.360667550582667,0.449730862972287,0.222514918958316,0.9907589455047,0.00711621525572316,0.0039479428595239,0.000975696248419419
"10:990","smote",0.999267399267399,0.0156269076979497,0.912053042393819,0.0340544929044935,0.121453790611141,0.0748951329819393,0.209319084008904,0.109406011514173,0.954459042299467,0.0195263720774036,0.955660220830609,0.0185682540392961,0.320103185795964,0.0986726148305311,0.979576474906459,0.0946736354937492,0.998669719654352,0.00688386984151055,0.00849395689073499,0.0122242209444153
"10:990","smote_enn",0.998095238095238,0.0239571675686135,0.865697880693992,0.0533514681197992,0.0840643682081271,0.0531477158147575,0.150855863447014,0.0848183016975826,0.92897877611464,0.0303745976000331,0.931896559394615,0.0281345503067813,0.258841031987254,0.0845387119675343,0.106178889084628,0.0664134142766514,0.946580023114603,0.0231169418697941,0.0151243513757056,0.00301649677242864
